,latitude,longitude
663,28.456225,-16.250748
664,28.456258,-16.250498
665,28.455411,-16.254976
666,28.456605,-16.251887
667,28.455411,-16.254976
668,28.456505,-16.251581
669,28.457761,-16.254592
670,28.4565,-16.250528
671,28.456283,-16.25057
672,28.455575,-16.251506
673,28.455725,-16.250706
674,28.455544,-16.250609
675,28.455516,-16.250676
676,28.455594,-16.251473
677,28.455988,-16.251712
678,28.456347,-16.252176
679,28.455633,-16.250298
680,28.456352,-16.252606
681,28.45553,-16.24982
682,28.455611,-16.250887
683,28.455524,-16.251414
684,28.455575,-16.251489
685,28.455933,-16.251784
686,28.456252,-16.252025
687,28.456994,-16.254484
688,28.455952,-16.253153
689,28.456002,-16.253142
690,28.456152,-16.252312
691,28.456694,-16.253495
692,28.457438,-16.25545
693,28.456122,-16.252728
694,28.45593,-16.252517
695,28.455983,-16.252984
696,28.452075,-16.255603
697,28.451844,-16.255959
698,28.452091,-16.255931
699,28.452022,-16.255937
700,28.451886,-16.255875
701,28.451758,-16.255931
702,28.45235,-16.255923
703,28.451708,-16.256273
704,28.452133,-16.256737
705,28.451575,-16.256023
706,28.452733,-16.258742
707,28.452524,-16.254739
708,28.452233,-16.256139
709,28.452575,-16.254764
710,28.452652,-16.254634
711,28.452613,-16.254614
712,28.452591,-16.254745
713,28.452141,-16.255012
714,28.452366,-16.255148
715,28.452136,-16.254989
716,28.453797,-16.261259
717,28.451369,-16.256028
718,28.451388,-16.256003
719,28.45143,-16.255467
